surface,target_section,target_path,ref_class,span_start,span_end,rej16,llm,gold,note
clause (I),274,c.i.ii.i,local_structural,-1,-1,0,1,0,no exact surface span
clause (i),274,e.2.b.i,local_structural,5591,5601,0,1,1,
clause (i),274,i,local_structural,5591,5601,1,0,1,
clause (II),274,c.i.ii.ii,local_structural,-1,-1,0,1,0,no exact surface span
clause (ii),274,e.2.b.ii,local_structural,15008,15019,0,1,1,
clause (ii),274,ii,local_structural,15008,15019,1,1,1,
Clauses (i),274,i,local_structural,26660,26672,1,0,1,
paragraph (1),274,,local_structural,528,541,0,1,1,
paragraph (1),274,1,local_structural,528,541,1,0,1,
paragraph (1),274,e.1,local_structural,27294,27307,0,1,1,
paragraph (2),,2,explicit,18683,18696,0,1,0,wrong class or target
paragraph (2),274,2,local_structural,6592,6605,1,1,1,
paragraph (2),274,e.2,local_structural,6592,6605,0,1,1,
paragraph (2),274,n.2,local_structural,25105,25118,0,1,1,
"paragraph (2), (3), (4), (7), (8), or (9) of subsection (e)",274,"e.2, e.3, e.4, e.7, e.8, e.9",local_structural,22678,22737,0,1,1,
paragraph (3),274,e.3,local_structural,-1,-1,0,1,0,no exact standalone surface span
paragraph (4),274,e.4,local_structural,-1,-1,0,1,0,no exact standalone surface span
paragraph (5),274,,local_structural,11064,11077,0,1,1,
paragraph (5),274,5,local_structural,11064,11078,1,0,1,
paragraph (8),274,e.8,explicit,-1,-1,0,1,0,wrong class and no exact span
paragraph (9),274,9,local_structural,5377,5391,1,0,1,
paragraph (9),274,e.9,local_structural,5377,5390,0,1,1,
paragraph (A),274,,local_structural,17991,18004,0,1,0,should be subparagraph
paragraph (B),274,,local_structural,12039,12052,0,1,0,should be subparagraph
paragraph (i),274,,local_structural,-1,-1,0,1,0,no exact surface span
paragraph (ii),274,,local_structural,-1,-1,0,1,0,no exact surface span
paragraph (iii),274,,local_structural,-1,-1,0,1,0,no exact surface span
part III of subchapter A of chapter 61,61,subchapter.a.part.iii,explicit,8943,8981,0,1,1,
section 102,102,,explicit,1670,1681,1,1,1,
section 119(a),119,a,explicit,27777,27791,1,1,1,
section 132(e)(1),132,e.1,explicit,21679,21696,1,1,1,
section 132(e)(2),132,e.2,explicit,27611,27628,1,1,1,
